x_original,nm,cm^-1,intensity
940.83,956.05,2274.38,19392.00
940.78,956.00,2273.80,21058.00
940.73,955.94,2273.22,24506.00
940.67,955.89,2272.64,22088.00
940.62,955.84,2272.06,22627.00
940.57,955.79,2271.48,25446.00
940.52,955.73,2270.90,22649.00
940.47,955.68,2270.32,20035.00
940.41,955.63,2269.74,24046.00
940.36,955.57,2269.16,24946.00
940.31,955.52,2268.57,21738.00
940.26,955.47,2267.99,25047.00
940.21,955.41,2267.41,21549.00
940.15,955.36,2266.83,24594.00
940.10,955.31,2266.25,25405.00
940.05,955.25,2265.67,20140.00
940.00,955.20,2265.09,16533.00
939.95,955.15,2264.51,23268.00
939.89,955.09,2263.92,25054.00
939.84,955.04,2263.34,25905.00
939.79,954.99,2262.76,22458.00
939.74,954.93,2262.18,24609.00
939.68,954.88,2261.60,21738.00
939.63,954.83,2261.02,27229.00
939.58,954.77,2260.43,23271.00
939.53,954.72,2259.85,20311.00
939.48,954.67,2259.27,26892.00
939.42,954.62,2258.69,25497.00
939.37,954.56,2258.11,22379.00
939.32,954.51,2257.52,19410.00
939.27,954.46,2256.94,24424.00
939.22,954.40,2256.36,25258.00
939.16,954.35,2255.78,23893.00
939.11,954.30,2255.19,25980.00
939.06,954.24,2254.61,21725.00
939.01,954.19,2254.03,23098.00
938.96,954.14,2253.45,23730.00
938.90,954.08,2252.86,24092.00
938.85,954.03,2252.28,22645.00
938.80,953.98,2251.70,27509.00
938.75,953.92,2251.12,18351.00
938.69,953.87,2250.53,24597.00
938.64,953.82,2249.95,25435.00
938.59,953.76,2249.37,27414.00
938.54,953.71,2248.78,22940.00
938.49,953.66,2248.20,27684.00
938.43,953.61,2247.62,25227.00
938.38,953.55,2247.03,28962.00
938.33,953.50,2246.45,25734.00
938.28,953.45,2245.87,21076.00
938.23,953.39,2245.28,27014.00
938.17,953.34,2244.70,29555.00
938.12,953.29,2244.12,27653.00
938.07,953.23,2243.53,21042.00
938.02,953.18,2242.95,22923.00
937.97,953.13,2242.36,24049.00
937.91,953.07,2241.78,21407.00
937.86,953.02,2241.20,22063.00
937.81,952.97,2240.61,26526.00
937.76,952.91,2240.03,22817.00
937.71,952.86,2239.44,18347.00
937.65,952.81,2238.86,24307.00
937.60,952.75,2238.28,23173.00
937.55,952.70,2237.69,22917.00
937.50,952.65,2237.11,28451.00
937.44,952.59,2236.52,25990.00
937.39,952.54,2235.94,26098.00
937.34,952.49,2235.35,24121.00
937.29,952.44,2234.77,23679.00
937.24,952.38,2234.18,21440.00
937.18,952.33,2233.60,22623.00
937.13,952.28,2233.01,22379.00
937.08,952.22,2232.43,29605.00
937.03,952.17,2231.84,23732.00
936.98,952.12,2231.26,23703.00
936.92,952.06,2230.67,25146.00
936.87,952.01,2230.09,21282.00
936.82,951.96,2229.50,24321.00
936.77,951.90,2228.92,22563.00
936.72,951.85,2228.33,23460.00
936.66,951.80,2227.75,25124.00
936.61,951.74,2227.16,31315.00
936.56,951.69,2226.57,24936.00
936.51,951.64,2225.99,22642.00
936.45,951.58,2225.40,25684.00
936.40,951.53,2224.82,21928.00
936.35,951.48,2224.23,27881.00
936.30,951.43,2223.65,24301.00
936.25,951.37,2223.06,24745.00
936.19,951.32,2222.47,20376.00
936.14,951.27,2221.89,24308.00
936.09,951.21,2221.30,23167.00
936.04,951.16,2220.71,26520.00
935.99,951.11,2220.13,24924.00
935.93,951.05,2219.54,23854.00
935.88,951.00,2218.96,28227.00
935.83,950.95,2218.37,25518.00
935.78,950.89,2217.78,31948.00
935.73,950.84,2217.20,23940.00
935.67,950.79,2216.61,24608.00
935.62,950.73,2216.02,27931.00
935.57,950.68,2215.44,28542.00
935.52,950.63,2214.85,24233.00
935.46,950.57,2214.26,23072.00
935.41,950.52,2213.67,23870.00
935.36,950.47,2213.09,25566.00
935.31,950.41,2212.50,25724.00
935.26,950.36,2211.91,30589.00
935.20,950.31,2211.33,27385.00
935.15,950.26,2210.74,21520.00
935.10,950.20,2210.15,25377.00
935.05,950.15,2209.56,18292.00
935.00,950.10,2208.98,23115.00
934.94,950.04,2208.39,28325.00
934.89,949.99,2207.80,27734.00
934.84,949.94,2207.21,29930.00
934.79,949.88,2206.62,22706.00
934.74,949.83,2206.04,24292.00
934.68,949.78,2205.45,25011.00
934.63,949.72,2204.86,24357.00
934.58,949.67,2204.27,26070.00
